epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0227,1.01566,1.68928,1.49471,1.40667,0.81408,0.69925,0.77509,0.54719,0.84159,0.71429,0.80386,0.64837,1.09405,1.8701,1.55195,1.23172,0.000665586,0.000665586,0.000665586
2,173.537,1.05323,1.59703,1.26176,1.40377,0.87354,0.69925,0.76972,0.45608,0.92606,0.74436,0.82196,0.61064,1.34394,1.32708,1.30585,1.44108,0.00126631,0.00126631,0.00126631
3,243.1,1.00936,1.5331,1.14923,1.35937,0.8736,0.72755,0.7843,0.5439,0.90348,0.72932,0.80723,0.65206,1.12905,1.22687,1.26867,1.25061,0.00180103,0.00180103,0.00180103
4,310.089,1.0091,1.59907,1.13893,1.36993,0.75631,0.74676,0.74989,0.51407,0.7487,0.73924,0.72694,0.58656,1.13352,1.20576,1.20629,1.22625,0.001703,0.001703,0.001703
5,381.651,0.93183,1.43574,1.07824,1.32474,0.82103,0.72932,0.80828,0.5631,0.83796,0.74436,0.82107,0.65883,0.9646,1.11969,1.12043,1.13796,0.001604,0.001604,0.001604
6,452.32,0.89315,1.34323,1.02352,1.30715,0.88812,0.7594,0.84208,0.59762,0.91219,0.78947,0.88037,0.71858,0.98338,0.92655,1.00522,1.09051,0.001505,0.001505,0.001505
7,524.807,0.85172,1.30263,0.97168,1.27547,0.92182,0.83459,0.89199,0.64646,0.93892,0.84962,0.91239,0.74607,0.96655,0.8845,0.86991,1.04922,0.001406,0.001406,0.001406
8,598.587,0.82947,1.25947,0.9443,1.26598,0.87097,0.80451,0.88157,0.62428,0.86776,0.79699,0.88339,0.69962,0.96526,1.0198,0.88757,1.10632,0.001307,0.001307,0.001307
9,670.649,0.81179,1.17478,0.91835,1.26232,0.89424,0.81203,0.88331,0.6603,0.91112,0.82707,0.9018,0.76643,0.88792,0.85074,0.80838,1.0662,0.001208,0.001208,0.001208
10,741.578,0.80042,1.13411,0.91576,1.25075,0.89579,0.77556,0.84863,0.61855,0.90447,0.78308,0.86926,0.75068,0.9079,0.77348,0.96716,1.02101,0.001109,0.001109,0.001109
11,813.063,0.73971,0.90665,0.79736,1.32489,0.89861,0.84962,0.88452,0.68165,0.91766,0.83802,0.91047,0.7941,0.87787,0.79349,0.79499,0.98425,0.00101,0.00101,0.00101
12,886.551,0.70918,0.9218,0.71781,1.30453,0.94603,0.78195,0.90549,0.67908,0.94603,0.78195,0.90484,0.75826,0.87817,0.84292,0.75192,0.97626,0.000911,0.000911,0.000911
13,961.109,0.67102,0.87215,0.6818,1.2574,0.91637,0.82392,0.90846,0.72766,0.92608,0.84772,0.91614,0.78581,0.69958,0.82446,0.66622,0.88667,0.000812,0.000812,0.000812
14,1033.64,0.65813,0.83597,0.66204,1.25783,0.87432,0.83691,0.91086,0.71325,0.93757,0.78195,0.90967,0.78788,0.75575,0.81001,0.66503,0.92007,0.000713,0.000713,0.000713
15,1102.1,0.61089,0.78097,0.62447,1.21731,0.93317,0.83994,0.91996,0.7687,0.94153,0.84746,0.9211,0.80421,0.63474,0.75823,0.6344,0.87166,0.000614,0.000614,0.000614
16,1175.73,0.59431,0.74005,0.59872,1.20137,0.94888,0.83744,0.92541,0.77032,0.94892,0.83806,0.92683,0.79771,0.63944,0.77034,0.58676,0.84968,0.000515,0.000515,0.000515
17,1251.8,0.56488,0.709,0.57025,1.1866,0.95464,0.80451,0.90859,0.7309,0.93572,0.82707,0.90555,0.79084,0.67109,0.73899,0.63234,0.85907,0.000416,0.000416,0.000416
18,1322.37,0.54222,0.67659,0.54845,1.16559,0.94126,0.84211,0.92531,0.77838,0.94126,0.84211,0.92259,0.80855,0.6202,0.74012,0.59488,0.83212,0.000317,0.000317,0.000317
19,1398.01,0.51676,0.65602,0.51283,1.15509,0.9482,0.8258,0.92816,0.78949,0.95294,0.83459,0.93,0.82612,0.56801,0.69922,0.54257,0.79792,0.000218,0.000218,0.000218
20,1468.68,0.50674,0.64091,0.50186,1.14133,0.93943,0.81632,0.924,0.77741,0.94808,0.82384,0.92462,0.81021,0.59009,0.72644,0.56679,0.81717,0.000119,0.000119,0.000119
