epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.363,1.02589,1.83042,1.49558,1.34314,0.33739,0.58599,0.31144,0.15471,0.37262,0.55414,0.31453,0.1745,1.4534,2.10413,2.1749,1.42373,0.000665201,0.000665201,0.000665201
2,429.857,1.05777,1.70226,1.29648,1.34224,0.77116,0.73695,0.77686,0.47395,0.80434,0.73248,0.793,0.61277,1.31744,1.15906,1.4424,1.19714,0.00126594,0.00126594,0.00126594
3,623.153,1.05888,1.68666,1.2273,1.33773,0.81732,0.73248,0.78064,0.51483,0.83304,0.75215,0.80353,0.63523,1.1921,1.26673,1.34943,1.12488,0.00180068,0.00180068,0.00180068
4,814.234,1.04283,1.61695,1.1883,1.32631,0.82726,0.74947,0.81108,0.54626,0.8186,0.75796,0.81325,0.62398,1.12363,1.29458,1.23362,1.06303,0.001703,0.001703,0.001703
5,1009.48,0.96932,1.56468,1.10114,1.28396,0.70268,0.72611,0.73911,0.47905,0.74953,0.73701,0.76953,0.58634,1.12917,1.26392,1.27228,1.07447,0.001604,0.001604,0.001604
6,1200.88,0.92935,1.4487,1.07953,1.27263,0.89336,0.78769,0.84674,0.59435,0.91158,0.80988,0.86809,0.68926,0.97331,1.2848,0.98204,1.05232,0.001505,0.001505,0.001505
7,1394.89,0.88215,1.39994,1.01561,1.25133,0.872,0.82442,0.8575,0.61179,0.87882,0.83142,0.86845,0.71553,0.98268,0.99911,1.08461,1.00087,0.001406,0.001406,0.001406
8,1588.9,0.86957,1.36018,1.01741,1.23604,0.88804,0.80255,0.87927,0.62538,0.89758,0.80005,0.8865,0.74289,1.00139,0.89712,0.9253,0.97971,0.001307,0.001307,0.001307
9,1780.83,0.83306,1.29508,0.97688,1.22461,0.88073,0.79956,0.85916,0.62235,0.90042,0.80255,0.86824,0.74224,0.97222,1.03908,0.8876,0.95844,0.001208,0.001208,0.001208
10,1973.9,0.8132,1.28141,0.94189,1.20867,0.8909,0.76645,0.85664,0.64265,0.91739,0.77707,0.86943,0.74375,0.8794,0.94756,0.89512,0.95929,0.001109,0.001109,0.001109
11,2167.36,0.79019,1.09601,0.88509,1.28382,0.91242,0.78344,0.86407,0.64577,0.92589,0.79579,0.87928,0.73441,0.92015,0.87921,0.88938,0.98607,0.00101,0.00101,0.00101
12,2356.41,0.75523,0.99698,0.7842,1.24495,0.89004,0.82485,0.88844,0.64487,0.8964,0.82665,0.89222,0.75438,0.9096,0.86406,0.82488,0.9074,0.000911,0.000911,0.000911
13,2547.29,0.69211,0.94659,0.71144,1.20487,0.88469,0.80892,0.88315,0.66925,0.89747,0.79911,0.88897,0.7475,0.82445,0.81551,0.82754,0.88559,0.000812,0.000812,0.000812
14,2737.46,0.68489,0.92017,0.72194,1.20575,0.91958,0.83015,0.88882,0.7049,0.93797,0.83864,0.90337,0.78227,0.79043,0.79435,0.71983,0.87939,0.000713,0.000713,0.000713
15,2928.58,0.64591,0.86708,0.6478,1.1858,0.90569,0.85775,0.90771,0.71972,0.93102,0.84289,0.91387,0.78976,0.74466,0.75931,0.69629,0.83769,0.000614,0.000614,0.000614
16,3119.93,0.63825,0.8434,0.63391,1.17408,0.91667,0.83439,0.9076,0.73418,0.93159,0.83652,0.9163,0.79423,0.72251,0.73674,0.67221,0.83812,0.000515,0.000515,0.000515
17,3309.86,0.60335,0.80443,0.61318,1.15006,0.94812,0.8148,0.90531,0.74458,0.96303,0.82378,0.91361,0.79993,0.66906,0.73822,0.64362,0.81174,0.000416,0.000416,0.000416
18,3501.57,0.5768,0.7782,0.5735,1.13133,0.92437,0.84926,0.90748,0.74817,0.91895,0.86662,0.91245,0.79956,0.65671,0.72797,0.62321,0.79957,0.000317,0.000317,0.000317
19,3688.65,0.54686,0.72745,0.54314,1.11272,0.9177,0.82378,0.8986,0.75249,0.95134,0.81529,0.90366,0.80475,0.65443,0.72233,0.63542,0.79529,0.000218,0.000218,0.000218
20,3879.57,0.51698,0.72273,0.51704,1.10374,0.91994,0.85388,0.91203,0.77261,0.92469,0.86028,0.91391,0.82027,0.63107,0.69061,0.60107,0.78286,0.000119,0.000119,0.000119
