epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.143,0.87602,2.10719,1.97948,1.28686,0.92246,0.6062,0.82409,0.63854,0.93215,0.61257,0.82437,0.70319,0.71831,1.03917,2.22436,0.92347,0.0688889,0.00163743,0.00163743
2,145.675,0.76738,1.28081,1.27414,1.18476,0.86144,0.76858,0.83353,0.63781,0.87607,0.78046,0.84365,0.71177,0.85731,1.08461,1.52121,0.97211,0.0371568,0.00323867,0.00323867
3,157.025,0.73858,1.14741,1.11647,1.15222,0.77952,0.75063,0.78651,0.60154,0.78172,0.75275,0.79674,0.65039,0.85879,1.29026,1.27521,0.96473,0.00535871,0.00477392,0.00477392
4,168.176,0.72766,1.13604,1.05554,1.14824,0.8729,0.76221,0.84027,0.62908,0.91065,0.75736,0.85571,0.71602,0.82859,1.04713,1.13312,0.91045,0.004703,0.004703,0.004703
5,179.289,0.73253,1.06152,1.01727,1.14484,0.87222,0.81104,0.84623,0.62137,0.87738,0.82166,0.84196,0.69592,0.87894,1.02956,1.16017,0.95019,0.004604,0.004604,0.004604
6,190.451,0.71199,1.09144,0.97119,1.14382,0.80491,0.69002,0.72624,0.51468,0.81197,0.69851,0.73566,0.55847,0.98007,1.24386,1.36829,1.01921,0.004505,0.004505,0.004505
7,201.567,0.69156,1.02288,0.93436,1.12931,0.83842,0.74098,0.80784,0.56773,0.85044,0.75159,0.82457,0.68346,0.95137,1.10774,1.1768,0.96219,0.004406,0.004406,0.004406
8,212.735,0.6957,0.99543,0.93258,1.13614,0.89719,0.8259,0.87271,0.68985,0.90411,0.83227,0.88485,0.78118,0.74604,0.89036,1.05543,0.86996,0.004307,0.004307,0.004307
9,223.917,0.68551,0.96266,0.88946,1.12374,0.89085,0.8491,0.89294,0.7302,0.89743,0.85452,0.89812,0.77741,0.6808,0.88456,0.88365,0.84335,0.004208,0.004208,0.004208
10,235.1,0.68222,1.02351,0.87695,1.12299,0.90286,0.80904,0.85209,0.67727,0.91805,0.80867,0.86828,0.74257,0.74089,1.0957,0.95027,0.86721,0.004109,0.004109,0.004109
11,246.171,0.66047,0.93903,0.84665,1.1134,0.93519,0.79406,0.84102,0.67107,0.95269,0.80892,0.86298,0.75223,0.77695,0.96845,0.94964,0.8942,0.00401,0.00401,0.00401
12,257.283,0.66582,0.87309,0.84987,1.11715,0.90314,0.81953,0.87512,0.68979,0.91484,0.83015,0.88355,0.75725,0.76268,0.86107,0.92385,0.87696,0.003911,0.003911,0.003911
