epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1241,0.94558,2.1638,2.03061,1.32893,0.79713,0.73461,0.80968,0.5806,0.77139,0.74947,0.80707,0.65197,0.79436,1.03782,2.09758,0.94212,0.0670725,0.000332601,0.000332601
2,51.8267,0.81242,1.55846,1.58277,1.24399,0.87032,0.78367,0.85693,0.64672,0.86145,0.79208,0.85806,0.75556,0.77746,0.87775,1.56045,0.92786,0.0340593,0.000652749,0.000652749
3,75.3104,0.7827,1.36115,1.38042,1.21474,0.90226,0.81104,0.86545,0.67495,0.90226,0.81104,0.86847,0.76269,0.77309,0.80633,1.34181,0.89219,0.00103296,0.000959696,0.000959696
4,98.4655,0.77206,1.25649,1.28148,1.18953,0.895,0.79629,0.86892,0.64133,0.87636,0.81264,0.87613,0.76612,0.82275,0.7795,1.33323,0.92118,0.0009406,0.0009406,0.0009406
5,121.756,0.73942,1.18832,1.21167,1.17398,0.88104,0.81768,0.87185,0.66959,0.9424,0.78344,0.87027,0.77814,0.76447,0.80913,1.24684,0.9026,0.0009208,0.0009208,0.0009208
6,145.009,0.72311,1.14217,1.18181,1.16462,0.88225,0.80042,0.86469,0.69619,0.88459,0.80255,0.86447,0.76791,0.70686,0.74389,1.22295,0.87679,0.000901,0.000901,0.000901
7,168.221,0.69733,1.11012,1.13014,1.16139,0.89844,0.8076,0.87424,0.68954,0.90631,0.81316,0.87674,0.78028,0.71431,0.75734,1.19282,0.87411,0.0008812,0.0008812,0.0008812
8,191.732,0.68968,1.10509,1.11294,1.14971,0.88743,0.80343,0.88649,0.71282,0.89652,0.80937,0.8867,0.79391,0.6721,0.73097,1.12476,0.84483,0.0008614,0.0008614,0.0008614
9,214.857,0.68802,1.05409,1.08698,1.14932,0.90154,0.83596,0.88941,0.71085,0.90569,0.83652,0.88995,0.80844,0.72362,0.7384,1.09357,0.84157,0.0008416,0.0008416,0.0008416
10,238.297,0.66999,1.06179,1.06725,1.13146,0.88151,0.82378,0.88179,0.69417,0.92133,0.81529,0.88174,0.78574,0.73583,0.75541,1.10257,0.85654,0.0008218,0.0008218,0.0008218
11,261.676,0.66114,1.03065,1.05286,1.14087,0.91439,0.81953,0.89069,0.72936,0.91913,0.82378,0.89125,0.80483,0.64348,0.7237,1.04734,0.80998,0.000802,0.000802,0.000802
12,284.845,0.65457,1.03945,1.03745,1.13723,0.9348,0.79148,0.89397,0.72384,0.94232,0.79784,0.8935,0.79402,0.65879,0.72569,1.03892,0.80874,0.0007822,0.0007822,0.0007822
13,308.302,0.66312,0.98538,1.05154,1.13844,0.91376,0.83229,0.89298,0.73582,0.92073,0.84076,0.89717,0.80515,0.64777,0.68871,1.05054,0.81418,0.0007624,0.0007624,0.0007624
